nombre ,distancia ,peso_camino ,activo ,tipo_camino_id ,estado_camino_id ,trafico_id ,ciudad_inicial_id ,ciudad_final_id 
Ruta 11,332,1,1,1,2,2,22,23
Ruta 26 y 40,251,1,1,2,2,2,6,15
Ruta 260,194,1,1,2,4,2,14,27
Ruta 3,177,1,1,2,2,4,28,1
Ruta 25,170,1,1,2,2,2,9,25
Ruta 25,164,1,1,2,2,2,20,21
Ruta 3,156,1,1,2,2,2,3,24
Ruta 26,149,1,1,2,2,4,1,6
Ruta 3,138,1,1,2,2,4,3,29
Ruta 40,126,1,1,2,2,1,6,14
Ruta 40,124,1,1,2,2,1,4,11
Ruta 25,103,1,1,2,5,2,10,26
Ruta 40,96,1,1,1,2,2,21,4
Camino,95,1,1,1,2,2,6,17
Ruta 2,94,1,1,2,2,3,2,24
Ruta 40,74,1,1,1,2,2,15,21
Ruta 30,73,1,1,2,2,2,29,19
Ruta 1,63,1,1,1,2,1,2,5
Ruta 3,62,1,1,2,2,4,2,3
Ruta 3,60,1,1,2,2,4,29,28
Ruta 25,57,1,1,2,2,2,26,20
Ruta 40,39,1,1,2,2,2,11,10
Ruta 71,38,1,1,2,2,2,4,16
Ruta 259,26,1,1,2,2,2,4,8
Ruta 25,22,1,1,2,2,4,3,5
Ruta 25,20,1,1,2,2,2,9,12
Ruta 3,18,1,1,2,2,2,28,19
Ruta 25,17,1,1,2,2,2,3,9
Camino al desemboque,14,1,1,1,2,2,10,13
Ruta 3,13,1,1,2,2,2,1,7
